timestamp,datetime,portfolio_btc
1732819558801,2024-11-28 18:45:58.801000+00:00,10.0
1732823159666,2024-11-28 19:45:59.666000+00:00,10.0
1732826759786,2024-11-28 20:45:59.786000+00:00,10.0
1732830360870,2024-11-28 21:46:00.870000+00:00,10.0
1732833961103,2024-11-28 22:46:01.103000+00:00,10.00018
1732837561325,2024-11-28 23:46:01.325000+00:00,10.00031
1732841162352,2024-11-29 00:46:02.352000+00:00,10.00037
1732844763421,2024-11-29 01:46:03.421000+00:00,10.00082
1732848363528,2024-11-29 02:46:03.528000+00:00,10.00271
1732851964522,2024-11-29 03:46:04.522000+00:00,10.00289
1732855565596,2024-11-29 04:46:05.596000+00:00,10.00178
1732859165799,2024-11-29 05:46:05.799000+00:00,10.00356
1732862766426,2024-11-29 06:46:06.426000+00:00,10.00445
1732866367029,2024-11-29 07:46:07.029000+00:00,10.0046
1732869967789,2024-11-29 08:46:07.789000+00:00,10.00464
1732873568550,2024-11-29 09:46:08.550000+00:00,10.00463
1732877169340,2024-11-29 10:46:09.340000+00:00,10.00466
1732880770246,2024-11-29 11:46:10.246000+00:00,10.00466
1732884371020,2024-11-29 12:46:11.020000+00:00,10.00456
1732887971788,2024-11-29 13:46:11.788000+00:00,10.00458
1732891572651,2024-11-29 14:46:12.651000+00:00,10.00476
1732895173387,2024-11-29 15:46:13.387000+00:00,10.00375
1732898774258,2024-11-29 16:46:14.258000+00:00,10.00457
1732902374933,2024-11-29 17:46:14.933000+00:00,10.00627
1732905975602,2024-11-29 18:46:15.602000+00:00,10.00638
1732909576506,2024-11-29 19:46:16.506000+00:00,10.0065
1732913177303,2024-11-29 20:46:17.303000+00:00,10.00642
1732916778063,2024-11-29 21:46:18.063000+00:00,10.00647
1732920378917,2024-11-29 22:46:18.917000+00:00,10.00659
1732923979722,2024-11-29 23:46:19.722000+00:00,10.00671
1732927580523,2024-11-30 00:46:20.523000+00:00,10.00679
1732931181475,2024-11-30 01:46:21.475000+00:00,10.00613
1732934782291,2024-11-30 02:46:22.291000+00:00,10.00663
1732938383144,2024-11-30 03:46:23.144000+00:00,10.00674
1732941983987,2024-11-30 04:46:23.987000+00:00,10.00766
1732945584836,2024-11-30 05:46:24.836000+00:00,10.00757
1732949185595,2024-11-30 06:46:25.595000+00:00,10.0087
1732952786570,2024-11-30 07:46:26.570000+00:00,10.00882
1732956387457,2024-11-30 08:46:27.457000+00:00,10.00745
1732959988458,2024-11-30 09:46:28.458000+00:00,10.00389
1732963589302,2024-11-30 10:46:29.302000+00:00,10.00442
1732967190097,2024-11-30 11:46:30.097000+00:00,10.00399
1732970791014,2024-11-30 12:46:31.014000+00:00,10.00499
1732974391759,2024-11-30 13:46:31.759000+00:00,10.00623
1732977992633,2024-11-30 14:46:32.633000+00:00,10.00662
1732981593374,2024-11-30 15:46:33.374000+00:00,10.00677
1732985194208,2024-11-30 16:46:34.208000+00:00,10.00679
1732988795166,2024-11-30 17:46:35.166000+00:00,10.00504
1732992396055,2024-11-30 18:46:36.055000+00:00,10.00139
1732995996130,2024-11-30 19:46:36.130000+00:00,10.00231
1732999597042,2024-11-30 20:46:37.042000+00:00,10.00406
1733003197898,2024-11-30 21:46:37.898000+00:00,10.00465
1733006798907,2024-11-30 22:46:38.907000+00:00,10.00455
1733010399696,2024-11-30 23:46:39.696000+00:00,10.00474
1733014000661,2024-12-01 00:46:40.661000+00:00,10.00501
1733017601544,2024-12-01 01:46:41.544000+00:00,10.00616
1733021202425,2024-12-01 02:46:42.425000+00:00,10.0064
1733024802528,2024-12-01 03:46:42.528000+00:00,10.00769
1733028403503,2024-12-01 04:46:43.503000+00:00,10.00652
1733032004408,2024-12-01 05:46:44.408000+00:00,10.00658
1733035605377,2024-12-01 06:46:45.377000+00:00,10.00418
1733039206349,2024-12-01 07:46:46.349000+00:00,10.00268
1733042807334,2024-12-01 08:46:47.334000+00:00,10.00219
1733046408268,2024-12-01 09:46:48.268000+00:00,10.00428
1733050009304,2024-12-01 10:46:49.304000+00:00,9.9983
1733053609472,2024-12-01 11:46:49.472000+00:00,10.00371
1733057210462,2024-12-01 12:46:50.462000+00:00,10.00397
1733060810696,2024-12-01 13:46:50.696000+00:00,10.00542
1733064411706,2024-12-01 14:46:51.706000+00:00,10.00501
1733068012606,2024-12-01 15:46:52.606000+00:00,10.00518
1733071612645,2024-12-01 16:46:52.645000+00:00,10.01058
1733075213604,2024-12-01 17:46:53.604000+00:00,10.01
1733078813754,2024-12-01 18:46:53.754000+00:00,10.00884
1733082414667,2024-12-01 19:46:54.667000+00:00,10.01064
1733086015587,2024-12-01 20:46:55.587000+00:00,10.01008
1733089616633,2024-12-01 21:46:56.633000+00:00,10.01128
1733093217617,2024-12-01 22:46:57.617000+00:00,10.01202
1733096817781,2024-12-01 23:46:57.781000+00:00,10.012
1733100418796,2024-12-02 00:46:58.796000+00:00,10.01283
1733104018897,2024-12-02 01:46:58.897000+00:00,10.01245
1733107619793,2024-12-02 02:46:59.793000+00:00,10.01267
1733111220790,2024-12-02 03:47:00.790000+00:00,10.01098
1733114821817,2024-12-02 04:47:01.817000+00:00,10.00978
1733118422792,2024-12-02 05:47:02.792000+00:00,10.01444
1733122022899,2024-12-02 06:47:02.899000+00:00,10.01635
1733125623930,2024-12-02 07:47:03.930000+00:00,10.01633
1733129224019,2024-12-02 08:47:04.019000+00:00,10.01638
1733132825033,2024-12-02 09:47:05.033000+00:00,10.01651
1733136426064,2024-12-02 10:47:06.064000+00:00,10.01641
1733140026238,2024-12-02 11:47:06.238000+00:00,10.01568
1733143626347,2024-12-02 12:47:06.347000+00:00,10.01282
1733147226544,2024-12-02 13:47:06.544000+00:00,10.01164
1733150827532,2024-12-02 14:47:07.532000+00:00,10.01064
1733154427763,2024-12-02 15:47:07.763000+00:00,10.00805
1733158027950,2024-12-02 16:47:07.950000+00:00,10.0004
1733161628228,2024-12-02 17:47:08.228000+00:00,10.00286
1733165228388,2024-12-02 18:47:08.388000+00:00,9.99909
1733168828524,2024-12-02 19:47:08.524000+00:00,10.00186
1733172428715,2024-12-02 20:47:08.715000+00:00,10.00094
1733176028954,2024-12-02 21:47:08.954000+00:00,10.00592
1733179629209,2024-12-02 22:47:09.209000+00:00,10.01503
1733183229451,2024-12-02 23:47:09.451000+00:00,10.01853
1733186829752,2024-12-03 00:47:09.752000+00:00,10.01453
1733190429967,2024-12-03 01:47:09.967000+00:00,9.99857
1733194030250,2024-12-03 02:47:10.250000+00:00,10.00557
1733197630310,2024-12-03 03:47:10.310000+00:00,10.00562
1733201230540,2024-12-03 04:47:10.540000+00:00,10.00594
1733204830696,2024-12-03 05:47:10.696000+00:00,10.00574
